model_name,smote_strategy,selected_threshold,selection_status,accuracy,balanced_accuracy,macro_f1_score,critical_precision,critical_recall,critical_f1_score,overall_model_score
LightGBM,No_SMOTE,0.15,Meets_Requirements,0.82,0.7146818262388899,0.7189747976976738,0.5051546391752577,0.4803921568627451,0.49246231155778897,0.6792630027851452
LightGBM,SMOTE_Auto,0.25,Fallback_Best_Overall_Score,0.8,0.703136579642619,0.6979864387967162,0.44642857142857145,0.49019607843137253,0.4672897196261682,0.662702155456238
LightGBM,SMOTE_Critical_2x,0.25,Meets_Requirements,0.82375,0.7037265171529942,0.7149337087049661,0.5176470588235295,0.43137254901960786,0.47058823529411764,0.6681119471323763
XGBoost,No_SMOTE,0.1,Fallback_Best_Overall_Score,0.7725,0.7178018057560233,0.684653740594217,0.4144736842105263,0.6176470588235294,0.49606299212598426,0.6732184135775978
XGBoost,SMOTE_Auto,0.25,Fallback_Best_Overall_Score,0.766875,0.6803881475104032,0.6627563632129289,0.38345864661654133,0.5,0.4340425531914894,0.6354999127829644
XGBoost,SMOTE_Critical_2x,0.1,Fallback_Best_Overall_Score,0.745625,0.7113060219065385,0.6505375770210087,0.33497536945812806,0.6666666666666666,0.4459016393442623,0.6519032143210285
