Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Critical_Class_Recall,Training_Time_Seconds,Prediction_Time_Seconds,Number_of_Training_Rows,Number_of_Testing_Rows,Number_of_Predictors
LightGBM,0.808,0.7365752374971732,0.7283328262372905,0.7264901844512015,0.8037811595162301,0.5546875,0.9181695999996009,0.019073800000114716,8000,2000,44
XGBoost,0.7905,0.7834947032582772,0.6619017582583324,0.6928955506374862,0.7780723639147833,0.375,2.947875199999544,0.015559199999188422,8000,2000,44
Random_Forest,0.77,0.7282830490551285,0.6719157417397535,0.6851417427220197,0.7599378481744787,0.4609375,1.2228837000002386,0.1862849000008282,8000,2000,44
Decision_Tree,0.7185,0.6231219039658855,0.6314937781385069,0.6270502728868764,0.7196681945096286,0.421875,0.35611059999973804,0.002679199998965487,8000,2000,44
Logistic_Regression,0.626,0.5442636387783436,0.5963449733826615,0.5376831763370675,0.627617849137681,0.5546875,0.5001286000006075,0.0045494999994843965,8000,2000,44
