accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1_score,weighted_f1_score,critical_precision,critical_recall,critical_f1_score,model,strategy,smote_applied
0.855,0.7299742879936119,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.8488564999153206,0.717948717948718,0.4375,0.5436893203883495,LightGBM,SMOTE_Critical_2x,True
0.8565,0.7244792850967404,0.8298286475668899,0.7244792850967404,0.7576711283607835,0.8496891140468726,0.7571428571428571,0.4140625,0.5353535353535354,LightGBM,No_SMOTE,False
0.8415,0.7220988047271352,0.7757499804738578,0.7220988047271352,0.7412520325436748,0.835909207799798,0.6063829787234043,0.4453125,0.5135135135135135,LightGBM,SMOTE_Auto,True
0.824,0.6947136744818074,0.8074669785446291,0.6947136744818074,0.7275051778310765,0.8152053945475918,0.7391304347826086,0.3984375,0.5177664974619289,XGBoost,SMOTE_Critical_2x,True
0.8305,0.6904720236345275,0.8136583073086044,0.6904720236345275,0.7242608723784878,0.8209032865210371,0.746031746031746,0.3671875,0.49214659685863876,XGBoost,No_SMOTE,False
0.797,0.6813482933723947,0.7445013611011974,0.6813482933723947,0.7001768703869304,0.7884214807100163,0.5869565217391305,0.421875,0.4909090909090909,XGBoost,SMOTE_Auto,True
