threshold,threshold_type,accuracy,macro_precision,macro_recall,macro_f1,critical_precision,critical_recall,critical_f1
,Default_Argmax,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.05,Critical_Override,0.7455,0.6685531851794065,0.7359466807232398,0.6412939014195606,0.24806201550387597,0.75,0.37281553398058254
0.1,Critical_Override,0.803,0.7016595864319962,0.7549622769112365,0.7027440699141326,0.3483606557377049,0.6640625,0.45698924731182794
0.15,Critical_Override,0.8235,0.7237967315183652,0.7572674465203283,0.7277209582901406,0.41798941798941797,0.6171875,0.49842271293375395
0.2,Critical_Override,0.835,0.7423070072762594,0.7547821525448254,0.7417600542218609,0.4774193548387097,0.578125,0.5229681978798587
0.25,Critical_Override,0.8415,0.7554758190510898,0.7442220867972336,0.7457002126884381,0.5234375,0.5234375,0.5234375
0.3,Critical_Override,0.846,0.770750794464532,0.7386031061552631,0.7498176956733107,0.5727272727272728,0.4921875,0.5294117647058824
0.35,Critical_Override,0.8475,0.7770638032464215,0.7331081032583917,0.7490179428317499,0.594059405940594,0.46875,0.5240174672489083
0.4,Critical_Override,0.852,0.8003948157118915,0.7276567908904831,0.7528875179435343,0.6666666666666666,0.4375,0.5283018867924528
0.45,Critical_Override,0.853,0.8059049561069046,0.7284292899248594,0.7550483596254334,0.6829268292682927,0.4375,0.5333333333333333
0.5,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.55,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.6,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.65,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.7,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.75,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.8,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.85,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.9,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
0.95,Critical_Override,0.855,0.8177576500102098,0.7299742879936119,0.7594641425215322,0.717948717948718,0.4375,0.5436893203883495
