Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Critical_Class_Recall,Best_CV_Macro_F1,Tuning_Time_Seconds
LightGBM,0.875,0.8224232604955534,0.7415473286290516,0.7695391718354875,0.8694494819853215,0.421875,0.7416557251145139,45.103474617004395
XGBoost,0.8555,0.8187385381848609,0.7172207028879903,0.7488007652012078,0.8483500689974632,0.390625,0.7118508350193782,57.30236506462097
Random_Forest,0.7925,0.7331377529906856,0.7018220209644678,0.7051663084836649,0.7848333491377495,0.5078125,0.6795562522654015,286.7482941150665
