model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1_score,weighted_f1_score,critical_precision,critical_recall,critical_f1_score,critical_actual_count,critical_predicted_count,roc_auc_ovr_macro
LightGBM,0.875,0.7415473286290516,0.8224232604955534,0.7415473286290516,0.7695391718354875,0.8694494819853215,0.7012987012987013,0.421875,0.526829268292683,128,77,0.9336613941246839
XGBoost,0.8555,0.7172207028879903,0.8187385381848609,0.7172207028879903,0.7488007652012078,0.8483500689974632,0.7246376811594203,0.390625,0.5076142131979695,128,69,0.9250671111310457
Random_Forest,0.7925,0.7018220209644678,0.7331377529906856,0.7018220209644678,0.7051663084836649,0.7848333491377495,0.5284552845528455,0.5078125,0.5179282868525896,128,123,0.891919839438653
